training_episode,win_rate,mean_episode_length,epsilon
0,0.0,15.74,1.0
100,0.0,16.09,0.9129
200,0.0,19.89,0.8452
300,0.0,21.92,0.7906
400,0.0,21.25,0.7454
500,0.0,21.73,0.7071
600,0.0,23.07,0.6742
700,0.0,23.67,0.6455
800,0.04,24.5,0.6202
900,0.0,27.94,0.5976
1000,0.0,25.85,0.5774
2000,0.03,26.14,0.4472
3000,0.12,17.92,0.378
4000,0.57,25.6,0.3333
5000,0.53,23.22,0.3015
6000,0.67,24.48,0.2774
7000,0.64,25.64,0.2582
8000,0.87,25.03,0.2425
9000,0.69,23.73,0.2294
10000,0.73,22.05,0.2182
11000,0.83,24.35,0.2085
12000,0.92,23.87,0.2
13000,0.96,22.6,0.1925
14000,0.92,21.85,0.1857
15000,0.94,22.24,0.1796
16000,0.87,20.78,0.1741
17000,0.7,21.36,0.169
18000,0.84,23.05,0.1644
19000,1.0,18.99,0.1601
20000,0.94,20.43,0.1562
21000,0.94,23.7,0.1525
22000,0.5,21.43,0.1491
23000,0.92,20.41,0.1459
24000,0.99,19.76,0.1429
25000,1.0,18.89,0.14
26000,1.0,18.58,0.1374
27000,1.0,16.03,0.1348
28000,0.92,19.86,0.1325
29000,0.98,19.54,0.1302
30000,0.94,17.68,0.128
31000,1.0,18.27,0.126
32000,1.0,16.1,0.124
33000,0.98,16.33,0.1222
34000,1.0,16.43,0.1204
35000,0.98,18.68,0.1187
36000,0.66,20.08,0.117
37000,0.84,23.79,0.1155
38000,1.0,17.61,0.114
39000,1.0,15.01,0.1125
40000,1.0,16.15,0.1111
41000,0.99,16.9,0.1098
42000,1.0,17.43,0.1085
43000,1.0,15.39,0.1072
44000,1.0,15.1,0.106
45000,0.99,18.58,0.1048
46000,0.98,16.16,0.1037
47000,0.97,16.15,0.1026
48000,1.0,13.45,0.1015
49000,0.99,15.19,0.1005
50000,1.0,14.06,0.0995
51000,1.0,14.32,0.0985
52000,1.0,14.25,0.0976
53000,1.0,16.84,0.0967
54000,1.0,19.64,0.0958
55000,1.0,14.53,0.0949
56000,0.99,15.55,0.0941
57000,0.99,23.66,0.0933
58000,1.0,15.3,0.0925
59000,0.97,17.24,0.0917
60000,1.0,19.15,0.0909
