training_episode,win_rate,mean_episode_length,epsilon
0,0.0,15.91,1.0
100,0.0,13.86,0.9129
200,0.0,15.86,0.8452
300,0.0,21.57,0.7906
400,0.01,23.59,0.7454
500,0.08,21.45,0.7071
600,0.0,21.15,0.6742
700,0.04,20.72,0.6455
800,0.36,25.26,0.6202
900,0.3,25.58,0.5976
1000,0.54,28.27,0.5774
2000,0.3,23.99,0.4472
3000,0.59,27.64,0.378
4000,0.72,29.15,0.3333
5000,0.58,23.62,0.3015
6000,0.54,26.39,0.2774
7000,0.57,27.54,0.2582
8000,0.82,24.64,0.2425
9000,0.65,31.25,0.2294
10000,0.68,27.52,0.2182
11000,0.73,25.45,0.2085
12000,0.97,19.6,0.2
13000,0.86,23.91,0.1925
14000,0.69,23.55,0.1857
15000,0.93,19.3,0.1796
16000,0.9,20.45,0.1741
17000,0.92,17.87,0.169
18000,0.84,20.96,0.1644
19000,0.87,21.64,0.1601
20000,1.0,17.23,0.1562
21000,0.96,17.99,0.1525
22000,1.0,17.13,0.1491
23000,1.0,16.99,0.1459
24000,0.63,22.05,0.1429
25000,1.0,17.8,0.14
26000,0.99,17.14,0.1374
27000,0.96,15.14,0.1348
28000,1.0,15.52,0.1325
29000,0.9,21.02,0.1302
30000,1.0,14.75,0.128
31000,0.86,19.53,0.126
32000,1.0,15.32,0.124
33000,0.98,19.28,0.1222
34000,0.98,17.76,0.1204
35000,1.0,14.29,0.1187
36000,1.0,18.54,0.117
37000,0.92,21.83,0.1155
38000,1.0,14.99,0.114
39000,1.0,14.32,0.1125
40000,0.99,19.29,0.1111
41000,0.98,20.1,0.1098
42000,0.98,19.47,0.1085
43000,0.98,16.64,0.1072
44000,1.0,15.68,0.106
45000,1.0,13.0,0.1048
46000,0.98,21.2,0.1037
47000,0.95,18.75,0.1026
48000,1.0,14.35,0.1015
49000,0.99,15.89,0.1005
50000,1.0,14.08,0.0995
51000,0.97,16.85,0.0985
52000,0.99,18.77,0.0976
53000,1.0,13.75,0.0967
54000,1.0,16.44,0.0958
