training_episode,win_rate,mean_episode_length,epsilon
0,0.0,13.68,1.0
100,0.0,14.25,0.9129
200,0.0,18.38,0.8452
300,0.07,20.23,0.7906
400,0.0,24.29,0.7454
500,0.0,22.88,0.7071
600,0.01,22.35,0.6742
700,0.21,26.97,0.6455
800,0.15,27.23,0.6202
900,0.43,26.72,0.5976
1000,0.47,21.97,0.5774
2000,0.42,26.58,0.4472
3000,0.48,26.03,0.378
4000,0.68,27.09,0.3333
5000,0.51,23.88,0.3015
6000,0.63,24.16,0.2774
7000,0.87,25.45,0.2582
8000,0.9,22.16,0.2425
9000,0.44,26.62,0.2294
10000,0.77,20.8,0.2182
11000,0.85,23.4,0.2085
12000,0.84,20.09,0.2
13000,0.87,21.24,0.1925
14000,0.49,23.69,0.1857
15000,0.72,25.62,0.1796
16000,0.99,18.67,0.1741
17000,0.94,18.14,0.169
18000,1.0,17.7,0.1644
19000,0.96,19.38,0.1601
20000,0.99,18.8,0.1562
21000,1.0,18.04,0.1525
22000,1.0,17.56,0.1491
23000,1.0,18.27,0.1459
24000,0.97,19.34,0.1429
25000,0.99,16.33,0.14
26000,1.0,15.92,0.1374
27000,1.0,16.39,0.1348
28000,0.99,16.89,0.1325
29000,0.99,17.04,0.1302
30000,0.93,20.88,0.128
31000,1.0,15.95,0.126
32000,0.98,16.54,0.124
33000,1.0,14.85,0.1222
34000,0.87,21.75,0.1204
35000,0.98,18.54,0.1187
36000,0.96,19.82,0.117
37000,0.97,17.78,0.1155
38000,0.95,18.59,0.114
39000,1.0,14.39,0.1125
40000,0.99,15.02,0.1111
41000,0.97,17.16,0.1098
42000,0.99,16.1,0.1085
43000,1.0,15.46,0.1072
44000,1.0,14.06,0.106
45000,0.98,15.05,0.1048
46000,0.98,17.79,0.1037
47000,1.0,17.97,0.1026
48000,1.0,17.4,0.1015
49000,0.91,21.81,0.1005
50000,1.0,15.22,0.0995
