training_episode,win_rate,mean_episode_length,epsilon
0,0.0,14.98,1.0
100,0.0,14.06,0.7071
200,0.0,15.09,0.5774
300,0.02,18.16,0.5
400,0.05,25.25,0.4472
500,0.33,23.95,0.4082
600,0.06,19.71,0.378
700,0.25,23.0,0.3536
800,0.49,25.14,0.3333
900,0.25,25.5,0.3162
1000,0.33,25.68,0.3015
2000,0.31,21.17,0.2182
3000,0.68,21.86,0.1796
4000,0.78,25.56,0.1562
5000,0.97,21.89,0.14
6000,0.75,21.92,0.128
7000,0.77,20.28,0.1187
8000,0.97,19.08,0.1111
9000,1.0,18.03,0.1048
10000,0.94,20.24,0.0995
11000,1.0,17.39,0.0949
12000,0.99,16.83,0.0909
13000,0.93,18.78,0.0874
14000,0.93,19.15,0.0842
15000,1.0,17.87,0.0814
16000,0.98,17.55,0.0788
17000,0.99,17.35,0.0765
18000,1.0,16.04,0.0743
19000,0.97,15.8,0.0724
20000,0.98,19.8,0.0705
21000,0.99,15.69,0.0688
22000,1.0,17.78,0.0673
23000,0.93,16.96,0.0658
24000,0.96,17.0,0.0644
25000,1.0,17.57,0.0631
26000,1.0,15.25,0.0619
27000,0.97,17.52,0.0607
28000,1.0,14.2,0.0597
29000,1.0,14.82,0.0586
30000,0.99,15.88,0.0576
31000,0.99,16.09,0.0567
32000,1.0,14.56,0.0558
33000,0.99,15.85,0.055
34000,1.0,14.81,0.0542
35000,1.0,15.25,0.0534
36000,0.99,17.06,0.0526
37000,1.0,13.93,0.0519
38000,1.0,15.8,0.0512
39000,1.0,14.07,0.0506
40000,0.91,17.45,0.0499
41000,1.0,13.77,0.0493
42000,0.99,15.93,0.0487
43000,1.0,16.26,0.0482
44000,1.0,15.37,0.0476
45000,1.0,14.96,0.0471
46000,1.0,15.12,0.0466
47000,1.0,13.41,0.0461
48000,0.94,17.92,0.0456
49000,0.99,14.68,0.0451
50000,0.99,15.84,0.0447
