training_episode,win_rate,mean_episode_length,epsilon
0,0.0,16.73,1.0
100,0.0,13.48,0.7071
200,0.0,13.8,0.5774
300,0.05,17.87,0.5
400,0.1,19.94,0.4472
500,0.14,22.58,0.4082
600,0.47,25.3,0.378
700,0.19,24.22,0.3536
800,0.41,24.13,0.3333
900,0.2,25.05,0.3162
1000,0.51,27.28,0.3015
2000,0.79,26.14,0.2182
3000,0.47,23.25,0.1796
4000,0.42,21.99,0.1562
5000,0.75,26.5,0.14
6000,0.62,29.54,0.128
7000,0.84,21.76,0.1187
8000,1.0,21.59,0.1111
9000,0.7,24.33,0.1048
10000,1.0,17.61,0.0995
11000,0.92,22.56,0.0949
12000,0.98,20.14,0.0909
13000,1.0,17.99,0.0874
14000,0.99,18.27,0.0842
15000,0.99,17.07,0.0814
16000,0.97,18.75,0.0788
17000,1.0,15.68,0.0765
18000,0.92,19.59,0.0743
19000,1.0,14.83,0.0724
20000,1.0,15.94,0.0705
21000,0.67,21.21,0.0688
22000,1.0,15.62,0.0673
23000,0.94,18.95,0.0658
24000,1.0,16.12,0.0644
25000,1.0,15.15,0.0631
26000,1.0,17.38,0.0619
27000,1.0,15.05,0.0607
28000,1.0,16.18,0.0597
29000,1.0,15.83,0.0586
30000,1.0,14.6,0.0576
31000,1.0,17.34,0.0567
32000,1.0,13.41,0.0558
33000,1.0,15.49,0.055
34000,1.0,15.65,0.0542
35000,1.0,15.5,0.0534
36000,1.0,16.49,0.0526
37000,1.0,13.93,0.0519
38000,1.0,13.14,0.0512
39000,1.0,15.55,0.0506
40000,1.0,13.68,0.0499
41000,0.99,14.36,0.0493
42000,1.0,15.45,0.0487
43000,1.0,13.91,0.0482
44000,1.0,14.42,0.0476
45000,0.99,15.51,0.0471
46000,1.0,15.8,0.0466
47000,1.0,15.67,0.0461
48000,0.99,15.05,0.0456
49000,1.0,13.26,0.0451
50000,1.0,13.04,0.0447
51000,0.94,20.33,0.0442
