training_episode,win_rate,mean_episode_length,epsilon
0,0.0,15.74,1.0
100,0.0,13.63,0.7071
200,0.0,20.6,0.5774
300,0.11,23.34,0.5
400,0.19,22.36,0.4472
500,0.25,25.97,0.4082
600,0.18,24.46,0.378
700,0.19,25.95,0.3536
800,0.14,21.13,0.3333
900,0.35,28.03,0.3162
1000,0.54,28.51,0.3015
2000,0.43,23.26,0.2182
3000,0.52,22.1,0.1796
4000,0.82,26.61,0.1562
5000,0.08,20.59,0.14
6000,0.83,26.04,0.128
7000,0.88,22.13,0.1187
8000,0.92,21.84,0.1111
9000,0.88,20.64,0.1048
10000,0.92,22.67,0.0995
11000,0.71,24.04,0.0949
12000,1.0,17.12,0.0909
13000,0.97,18.98,0.0874
14000,0.97,19.89,0.0842
15000,1.0,16.45,0.0814
16000,1.0,15.7,0.0788
17000,0.95,19.66,0.0765
18000,0.96,18.33,0.0743
19000,0.96,17.71,0.0724
20000,1.0,17.0,0.0705
21000,1.0,15.34,0.0688
22000,1.0,17.9,0.0673
23000,1.0,15.59,0.0658
24000,0.94,16.53,0.0644
25000,1.0,14.97,0.0631
26000,0.98,20.31,0.0619
27000,1.0,14.21,0.0607
28000,1.0,17.76,0.0597
29000,1.0,13.98,0.0586
30000,1.0,14.73,0.0576
31000,1.0,16.87,0.0567
32000,0.98,19.54,0.0558
33000,1.0,13.94,0.055
34000,1.0,13.96,0.0542
35000,0.97,17.89,0.0534
36000,1.0,13.98,0.0526
37000,1.0,13.3,0.0519
38000,0.99,20.01,0.0512
39000,0.99,17.97,0.0506
40000,1.0,15.39,0.0499
41000,0.97,18.12,0.0493
42000,1.0,13.93,0.0487
43000,1.0,13.4,0.0482
44000,1.0,18.77,0.0476
45000,1.0,12.61,0.0471
46000,1.0,14.58,0.0466
47000,1.0,12.88,0.0461
48000,1.0,12.81,0.0456
