training_episode,win_rate,mean_episode_length,epsilon
0,0.0,13.39,1.0
100,0.0,16.0,0.7071
200,0.0,13.68,0.5774
300,0.04,17.62,0.5
400,0.4,22.76,0.4472
500,0.01,21.1,0.4082
600,0.23,25.46,0.378
700,0.36,26.7,0.3536
800,0.56,24.23,0.3333
900,0.52,26.52,0.3162
1000,0.52,28.49,0.3015
2000,0.69,25.16,0.2182
3000,0.53,23.91,0.1796
4000,0.41,22.84,0.1562
5000,0.91,26.0,0.14
6000,0.94,21.14,0.128
7000,0.9,20.69,0.1187
8000,0.91,20.85,0.1111
9000,0.87,23.79,0.1048
10000,0.76,21.12,0.0995
11000,0.99,16.23,0.0949
12000,0.83,25.64,0.0909
13000,0.98,17.57,0.0874
14000,0.83,26.73,0.0842
15000,1.0,16.86,0.0814
16000,1.0,16.46,0.0788
17000,1.0,19.91,0.0765
18000,0.95,20.89,0.0743
19000,1.0,14.47,0.0724
20000,0.83,17.52,0.0705
21000,0.98,21.54,0.0688
22000,1.0,17.43,0.0673
23000,0.79,20.63,0.0658
24000,0.98,16.09,0.0644
25000,0.84,25.41,0.0631
26000,1.0,14.95,0.0619
27000,0.97,16.46,0.0607
28000,1.0,15.75,0.0597
29000,0.9,20.8,0.0586
30000,1.0,16.25,0.0576
31000,1.0,14.91,0.0567
32000,0.98,15.17,0.0558
33000,1.0,20.55,0.055
34000,0.99,14.63,0.0542
35000,1.0,14.0,0.0534
36000,0.98,18.68,0.0526
37000,1.0,17.87,0.0519
38000,1.0,13.27,0.0512
39000,0.95,20.24,0.0506
40000,1.0,15.23,0.0499
41000,1.0,13.46,0.0493
42000,1.0,20.79,0.0487
43000,1.0,15.3,0.0482
44000,1.0,12.55,0.0476
45000,1.0,16.56,0.0471
46000,0.99,15.51,0.0466
47000,1.0,13.24,0.0461
48000,1.0,13.7,0.0456
49000,1.0,12.83,0.0451
50000,1.0,14.59,0.0447
