training_episode,win_rate,mean_episode_length,epsilon
0,0.0,14.98,1.0
100,0.0,14.75,0.7071
200,0.0,23.01,0.5774
300,0.09,19.52,0.5
400,0.2,21.62,0.4472
500,0.17,21.13,0.4082
600,0.02,22.84,0.378
700,0.17,21.93,0.3536
800,0.46,26.2,0.3333
900,0.52,23.59,0.3162
1000,0.0,17.93,0.3015
2000,0.07,20.79,0.2182
3000,0.93,25.45,0.1796
4000,0.2,20.67,0.1562
5000,0.48,21.32,0.14
6000,0.51,20.39,0.128
7000,0.97,18.46,0.1187
8000,0.99,17.46,0.1111
9000,0.98,18.54,0.1048
10000,0.99,16.1,0.0995
11000,0.99,17.35,0.0949
12000,0.96,19.88,0.0909
13000,0.97,15.43,0.0874
14000,0.99,17.04,0.0842
15000,1.0,13.99,0.0814
16000,1.0,13.97,0.0788
17000,1.0,16.75,0.0765
18000,0.98,14.99,0.0743
19000,0.98,14.95,0.0724
20000,1.0,13.91,0.0705
21000,1.0,12.85,0.0688
22000,1.0,13.75,0.0673
23000,0.98,14.11,0.0658
24000,1.0,12.76,0.0644
25000,1.0,12.68,0.0631
26000,1.0,13.81,0.0619
27000,1.0,13.29,0.0607
28000,1.0,12.95,0.0597
29000,1.0,13.26,0.0586
30000,0.97,14.21,0.0576
31000,1.0,12.91,0.0567
32000,1.0,12.64,0.0558
33000,1.0,13.4,0.055
34000,1.0,12.7,0.0542
35000,1.0,12.66,0.0534
36000,1.0,12.63,0.0526
37000,0.99,12.93,0.0519
38000,1.0,12.6,0.0512
39000,1.0,13.3,0.0506
40000,1.0,12.67,0.0499
41000,1.0,12.54,0.0493
42000,1.0,12.81,0.0487
43000,1.0,12.62,0.0482
44000,1.0,12.71,0.0476
45000,1.0,12.54,0.0471
46000,1.0,12.62,0.0466
47000,1.0,12.54,0.0461
48000,1.0,12.57,0.0456
49000,1.0,12.57,0.0451
50000,1.0,12.56,0.0447
