training_episode,win_rate,mean_episode_length,epsilon
0,0.0,16.84,1.0
100,0.34,20.16,0.7071
200,0.03,21.06,0.5774
300,0.02,17.83,0.5
400,0.0,23.45,0.4472
500,0.12,21.14,0.4082
600,0.42,25.17,0.378
700,0.09,19.18,0.3536
800,0.12,22.95,0.3333
900,0.36,23.82,0.3162
1000,0.11,19.95,0.3015
2000,0.82,28.72,0.2182
3000,0.95,22.89,0.1796
4000,0.39,21.49,0.1562
5000,0.9,21.21,0.14
6000,0.87,20.7,0.128
7000,0.84,23.11,0.1187
8000,0.93,18.76,0.1111
9000,1.0,15.98,0.1048
10000,0.98,15.88,0.0995
11000,1.0,14.36,0.0949
12000,1.0,16.66,0.0909
13000,1.0,15.45,0.0874
14000,0.97,16.48,0.0842
15000,0.99,15.14,0.0814
16000,1.0,18.64,0.0788
17000,1.0,14.04,0.0765
18000,0.98,13.87,0.0743
19000,1.0,13.1,0.0724
20000,1.0,13.31,0.0705
21000,1.0,14.01,0.0688
22000,1.0,14.34,0.0673
23000,1.0,13.32,0.0658
24000,0.99,13.49,0.0644
25000,1.0,13.2,0.0631
26000,1.0,13.4,0.0619
27000,0.99,14.7,0.0607
28000,1.0,13.44,0.0597
29000,1.0,13.05,0.0586
30000,1.0,12.97,0.0576
31000,0.99,14.61,0.0567
32000,1.0,13.96,0.0558
33000,1.0,13.47,0.055
34000,0.99,13.24,0.0542
35000,1.0,13.8,0.0534
36000,1.0,13.74,0.0526
37000,1.0,12.86,0.0519
38000,1.0,12.81,0.0512
39000,1.0,12.87,0.0506
40000,1.0,12.78,0.0499
41000,1.0,12.67,0.0493
42000,0.99,14.84,0.0487
43000,1.0,12.76,0.0482
44000,1.0,12.76,0.0476
45000,1.0,12.72,0.0471
46000,1.0,12.65,0.0466
47000,1.0,12.84,0.0461
48000,1.0,12.73,0.0456
49000,1.0,12.81,0.0451
50000,1.0,12.77,0.0447
51000,1.0,12.7,0.0442
