training_episode,win_rate,mean_episode_length,epsilon
0,0.0,12.56,1.0
100,0.0,13.72,0.7071
200,0.15,17.61,0.5774
300,0.01,17.18,0.5
400,0.1,21.14,0.4472
500,0.36,24.96,0.4082
600,0.2,24.19,0.378
700,0.39,22.4,0.3536
800,0.06,16.78,0.3333
900,0.49,22.66,0.3162
1000,0.7,27.71,0.3015
2000,0.38,21.42,0.2182
3000,0.65,21.67,0.1796
4000,0.51,27.31,0.1562
5000,0.95,19.33,0.14
6000,0.75,20.6,0.128
7000,1.0,18.24,0.1187
8000,1.0,14.13,0.1111
9000,1.0,15.01,0.1048
10000,1.0,14.47,0.0995
11000,1.0,16.0,0.0949
12000,0.55,19.23,0.0909
13000,1.0,17.13,0.0874
14000,1.0,16.08,0.0842
15000,1.0,14.72,0.0814
16000,1.0,13.88,0.0788
17000,1.0,14.0,0.0765
18000,0.99,14.28,0.0743
19000,1.0,15.04,0.0724
20000,1.0,13.29,0.0705
21000,1.0,13.73,0.0688
22000,0.99,14.18,0.0673
23000,1.0,12.93,0.0658
24000,1.0,13.1,0.0644
25000,1.0,13.61,0.0631
26000,1.0,13.62,0.0619
27000,0.99,13.42,0.0607
28000,1.0,12.81,0.0597
29000,1.0,12.61,0.0586
30000,1.0,12.92,0.0576
31000,1.0,12.84,0.0567
32000,1.0,13.71,0.0558
33000,1.0,12.89,0.055
34000,1.0,13.21,0.0542
35000,0.99,13.91,0.0534
36000,1.0,13.04,0.0526
37000,1.0,12.54,0.0519
38000,1.0,12.81,0.0512
39000,1.0,13.06,0.0506
40000,1.0,12.69,0.0499
41000,1.0,12.6,0.0493
42000,1.0,12.69,0.0487
43000,1.0,13.79,0.0482
44000,1.0,12.65,0.0476
45000,1.0,12.61,0.0471
46000,1.0,12.71,0.0466
47000,1.0,12.66,0.0461
48000,1.0,12.55,0.0456
49000,1.0,12.56,0.0451
50000,1.0,12.55,0.0447
