training_episode,win_rate,mean_episode_length,epsilon
0,0.0,13.68,1.0
100,0.0,19.5,0.7071
200,0.06,21.63,0.5774
300,0.01,13.19,0.5
400,0.15,16.68,0.4472
500,0.29,21.77,0.4082
600,0.22,22.61,0.378
700,0.1,21.76,0.3536
800,0.32,24.84,0.3333
900,0.15,19.8,0.3162
1000,0.34,25.1,0.3015
2000,0.47,21.89,0.2182
3000,0.9,25.19,0.1796
4000,0.83,24.46,0.1562
5000,0.93,20.55,0.14
6000,0.98,18.7,0.128
7000,0.9,22.21,0.1187
8000,0.99,17.84,0.1111
9000,0.75,18.28,0.1048
10000,1.0,18.17,0.0995
11000,0.99,15.11,0.0949
12000,1.0,16.23,0.0909
13000,1.0,15.88,0.0874
14000,1.0,17.0,0.0842
15000,1.0,15.21,0.0814
16000,1.0,14.47,0.0788
17000,1.0,15.89,0.0765
18000,0.99,15.16,0.0743
19000,1.0,14.09,0.0724
20000,1.0,14.45,0.0705
21000,0.99,16.01,0.0688
22000,0.97,14.16,0.0673
23000,0.99,13.35,0.0658
24000,1.0,13.86,0.0644
25000,1.0,13.5,0.0631
26000,0.99,12.76,0.0619
27000,1.0,13.7,0.0607
28000,1.0,13.07,0.0597
29000,1.0,13.32,0.0586
30000,1.0,12.69,0.0576
31000,0.99,12.98,0.0567
32000,1.0,12.98,0.0558
33000,1.0,12.95,0.055
34000,1.0,13.28,0.0542
35000,1.0,12.77,0.0534
36000,1.0,12.87,0.0526
37000,1.0,12.67,0.0519
38000,1.0,12.78,0.0512
39000,1.0,12.61,0.0506
40000,1.0,12.81,0.0499
41000,1.0,12.64,0.0493
42000,1.0,12.58,0.0487
43000,1.0,12.86,0.0482
44000,1.0,12.67,0.0476
45000,1.0,12.57,0.0471
46000,1.0,12.56,0.0466
47000,1.0,12.58,0.0461
48000,1.0,12.53,0.0456
49000,1.0,12.55,0.0451
50000,1.0,12.56,0.0447
