training_episode,win_rate,mean_episode_length,epsilon
0,0.0,11.0,1.0
100,0.02,15.49,0.9129
200,0.0,18.29,0.8452
300,0.19,24.05,0.7906
400,0.09,24.05,0.7454
500,0.0,22.31,0.7071
600,0.0,25.67,0.6742
700,0.0,21.72,0.6455
800,0.2,21.24,0.6202
900,0.02,29.69,0.5976
1000,0.32,25.62,0.5774
2000,0.36,24.01,0.4472
3000,0.58,27.49,0.378
4000,0.2,21.1,0.3333
5000,0.32,22.28,0.3015
6000,0.87,25.73,0.2774
7000,0.77,25.95,0.2582
8000,0.78,24.21,0.2425
9000,0.83,26.26,0.2294
10000,0.94,22.78,0.2182
11000,0.87,23.27,0.2085
12000,0.81,23.25,0.2
13000,0.77,20.93,0.1925
