training_episode,win_rate,mean_episode_length,epsilon
0,0.0,13.68,1.0
100,0.0,18.11,0.7071
200,0.0,21.84,0.5774
300,0.0,20.59,0.5
400,0.03,22.56,0.4472
500,0.15,25.0,0.4082
600,0.33,28.09,0.378
700,0.28,22.4,0.3536
800,0.29,23.59,0.3333
900,0.37,23.97,0.3162
1000,0.66,26.44,0.3015
2000,0.41,23.58,0.2182
3000,0.42,24.14,0.1796
4000,0.86,25.89,0.1562
5000,0.73,23.0,0.14
6000,0.91,22.46,0.128
7000,1.0,18.46,0.1187
8000,0.79,25.04,0.1111
9000,0.69,21.64,0.1048
10000,0.87,25.33,0.0995
11000,0.98,20.96,0.0949
12000,0.99,22.07,0.0909
13000,0.99,16.34,0.0874
14000,0.92,21.33,0.0842
15000,1.0,14.04,0.0814
16000,1.0,17.96,0.0788
17000,0.99,16.51,0.0765
18000,0.67,18.35,0.0743
19000,1.0,16.19,0.0724
20000,1.0,15.74,0.0705
21000,1.0,16.38,0.0688
22000,1.0,15.97,0.0673
23000,1.0,17.52,0.0658
24000,1.0,16.07,0.0644
25000,1.0,16.67,0.0631
26000,0.99,18.7,0.0619
27000,1.0,14.87,0.0607
28000,1.0,17.53,0.0597
29000,1.0,12.7,0.0586
30000,1.0,13.9,0.0576
31000,0.98,15.52,0.0567
32000,0.99,17.07,0.0558
33000,0.87,21.58,0.055
34000,0.96,18.28,0.0542
35000,1.0,17.67,0.0534
36000,1.0,15.31,0.0526
37000,1.0,18.88,0.0519
38000,1.0,14.49,0.0512
39000,1.0,19.49,0.0506
40000,1.0,13.37,0.0499
41000,1.0,16.92,0.0493
42000,1.0,15.35,0.0487
43000,1.0,13.13,0.0482
44000,0.93,22.25,0.0476
45000,0.92,20.51,0.0471
46000,0.99,16.27,0.0466
47000,1.0,13.52,0.0461
48000,0.99,12.89,0.0456
49000,1.0,13.52,0.0451
50000,1.0,13.28,0.0447
51000,1.0,12.86,0.0442
52000,1.0,13.55,0.0438
53000,1.0,14.1,0.0434
