training_episode,win_rate,mean_episode_length,epsilon
0,0.0,15.97,1.0
100,0.0,15.88,0.7071
200,0.0,19.4,0.5774
300,0.0,15.0,0.5
400,0.17,22.63,0.4472
500,0.19,22.65,0.4082
600,0.03,23.11,0.378
700,0.21,21.99,0.3536
800,0.0,25.28,0.3333
900,0.33,27.76,0.3162
1000,0.47,27.79,0.3015
2000,0.15,19.41,0.2182
3000,0.26,24.01,0.1796
4000,0.69,22.19,0.1562
5000,0.38,25.89,0.14
6000,0.9,24.43,0.128
7000,0.91,22.86,0.1187
8000,0.87,24.64,0.1111
9000,0.98,21.74,0.1048
10000,0.96,21.33,0.0995
11000,0.87,20.49,0.0949
12000,0.99,18.75,0.0909
13000,1.0,16.25,0.0874
14000,1.0,16.07,0.0842
15000,0.99,18.77,0.0814
16000,1.0,16.32,0.0788
17000,0.98,16.88,0.0765
18000,0.99,15.41,0.0743
19000,0.98,15.41,0.0724
20000,1.0,15.25,0.0705
21000,1.0,15.42,0.0688
22000,0.52,21.23,0.0673
23000,1.0,15.6,0.0658
24000,0.98,16.67,0.0644
25000,0.95,22.47,0.0631
26000,0.99,19.3,0.0619
27000,1.0,18.74,0.0607
28000,0.85,24.01,0.0597
29000,1.0,17.99,0.0586
30000,0.96,19.02,0.0576
31000,1.0,14.77,0.0567
32000,1.0,16.49,0.0558
33000,1.0,15.5,0.055
34000,1.0,16.93,0.0542
35000,1.0,13.82,0.0534
36000,1.0,13.79,0.0526
37000,0.96,21.74,0.0519
38000,1.0,18.31,0.0512
39000,1.0,14.83,0.0506
40000,1.0,18.46,0.0499
41000,1.0,13.75,0.0493
42000,1.0,13.09,0.0487
43000,1.0,13.67,0.0482
44000,1.0,13.88,0.0476
45000,1.0,13.35,0.0471
46000,1.0,14.69,0.0466
47000,1.0,14.93,0.0461
48000,1.0,14.31,0.0456
49000,1.0,13.44,0.0451
50000,1.0,15.05,0.0447
51000,1.0,14.29,0.0442
52000,1.0,14.32,0.0438
53000,1.0,15.23,0.0434
54000,0.96,21.97,0.043
55000,1.0,13.53,0.0426
