training_episode,win_rate,mean_episode_length,epsilon
0,0.0,14.42,1.0
100,0.0,14.83,0.7071
200,0.0,13.62,0.5774
300,0.01,20.97,0.5
400,0.09,21.76,0.4472
500,0.03,22.86,0.4082
600,0.26,22.78,0.378
700,0.12,18.33,0.3536
800,0.0,16.71,0.3333
900,0.11,19.73,0.3162
1000,0.53,26.93,0.3015
2000,0.52,23.48,0.2182
3000,0.75,22.13,0.1796
4000,0.89,23.58,0.1562
5000,0.72,21.52,0.14
6000,0.41,23.05,0.128
7000,0.97,20.57,0.1187
8000,1.0,18.78,0.1111
9000,0.99,20.5,0.1048
10000,0.73,19.44,0.0995
11000,1.0,17.05,0.0949
12000,0.88,18.13,0.0909
13000,0.82,17.8,0.0874
14000,1.0,15.39,0.0842
15000,0.96,15.16,0.0814
16000,1.0,14.49,0.0788
17000,0.98,15.19,0.0765
18000,0.99,19.44,0.0743
19000,1.0,15.49,0.0724
20000,1.0,13.41,0.0705
21000,1.0,18.69,0.0688
22000,0.95,16.42,0.0673
23000,1.0,13.93,0.0658
24000,1.0,15.78,0.0644
25000,1.0,15.82,0.0631
26000,1.0,13.99,0.0619
27000,1.0,13.91,0.0607
28000,1.0,12.95,0.0597
29000,0.99,14.29,0.0586
30000,1.0,13.57,0.0576
31000,0.96,19.31,0.0567
32000,1.0,13.11,0.0558
33000,1.0,14.35,0.055
34000,1.0,13.4,0.0542
35000,1.0,13.05,0.0534
36000,1.0,12.86,0.0526
37000,1.0,13.06,0.0519
38000,1.0,12.73,0.0512
39000,1.0,13.2,0.0506
40000,1.0,12.67,0.0499
41000,1.0,12.69,0.0493
42000,1.0,14.66,0.0487
43000,1.0,13.69,0.0482
44000,1.0,12.68,0.0476
45000,1.0,12.85,0.0471
46000,1.0,12.61,0.0466
47000,0.81,19.6,0.0461
48000,1.0,13.29,0.0456
49000,1.0,12.57,0.0451
50000,1.0,12.54,0.0447
51000,1.0,12.53,0.0442
