training_episode,win_rate,mean_episode_length,epsilon
0,0.0,11.7,1.0
100,0.0,17.78,0.7071
200,0.01,19.1,0.5774
300,0.13,18.23,0.5
400,0.44,21.73,0.4472
500,0.07,19.49,0.4082
600,0.2,19.04,0.378
700,0.22,27.71,0.3536
800,0.7,25.73,0.3333
900,0.46,23.88,0.3162
1000,0.68,25.7,0.3015
2000,0.25,21.34,0.2182
3000,0.96,23.96,0.1796
4000,0.94,23.87,0.1562
5000,0.24,21.63,0.14
6000,0.97,21.59,0.128
7000,1.0,18.66,0.1187
8000,0.99,17.63,0.1111
9000,0.28,20.58,0.1048
10000,0.99,21.49,0.0995
11000,0.97,14.69,0.0949
12000,1.0,15.82,0.0909
13000,1.0,14.36,0.0874
14000,1.0,14.55,0.0842
15000,0.96,17.1,0.0814
16000,0.98,15.28,0.0788
17000,1.0,14.0,0.0765
18000,0.99,13.4,0.0743
19000,1.0,13.95,0.0724
20000,0.99,14.39,0.0705
21000,0.99,14.73,0.0688
22000,0.97,16.24,0.0673
23000,1.0,14.6,0.0658
24000,1.0,13.52,0.0644
25000,1.0,13.12,0.0631
26000,0.99,12.73,0.0619
27000,0.99,12.74,0.0607
28000,1.0,12.91,0.0597
29000,1.0,13.43,0.0586
30000,1.0,13.55,0.0576
31000,1.0,12.97,0.0567
32000,1.0,12.93,0.0558
33000,1.0,14.64,0.055
34000,1.0,13.4,0.0542
35000,1.0,12.99,0.0534
36000,1.0,12.86,0.0526
37000,1.0,12.94,0.0519
38000,1.0,13.19,0.0512
39000,1.0,12.57,0.0506
40000,1.0,12.58,0.0499
41000,1.0,13.98,0.0493
42000,1.0,12.63,0.0487
43000,1.0,12.67,0.0482
44000,1.0,12.53,0.0476
45000,1.0,12.57,0.0471
46000,1.0,12.66,0.0466
47000,0.96,18.18,0.0461
48000,0.99,12.91,0.0456
49000,0.99,12.62,0.0451
50000,1.0,12.56,0.0447
51000,1.0,12.54,0.0442
52000,1.0,12.74,0.0438
53000,1.0,12.58,0.0434
