training_episode,win_rate,mean_episode_length,epsilon
0,0.0,15.74,1.0
100,0.0,13.16,0.7071
200,0.1,24.64,0.5774
300,0.0,16.47,0.5
400,0.0,15.73,0.4472
500,0.09,22.69,0.4082
600,0.05,23.09,0.378
700,0.2,23.95,0.3536
800,0.28,21.2,0.3333
900,0.17,21.14,0.3162
1000,0.41,23.35,0.3015
2000,0.46,22.99,0.2182
3000,1.0,22.76,0.1796
4000,0.59,22.93,0.1562
5000,0.85,21.68,0.14
6000,0.49,24.68,0.128
7000,0.91,17.49,0.1187
8000,0.96,16.94,0.1111
9000,0.96,19.01,0.1048
10000,0.99,16.16,0.0995
11000,1.0,15.05,0.0949
12000,1.0,14.42,0.0909
13000,0.99,16.22,0.0874
14000,1.0,15.46,0.0842
15000,1.0,15.31,0.0814
16000,1.0,14.32,0.0788
17000,0.82,17.78,0.0765
18000,1.0,15.92,0.0743
19000,0.97,16.55,0.0724
20000,1.0,14.88,0.0705
21000,1.0,13.06,0.0688
22000,1.0,13.34,0.0673
23000,0.99,17.02,0.0658
24000,1.0,12.97,0.0644
25000,0.99,13.31,0.0631
26000,1.0,13.35,0.0619
27000,0.99,16.21,0.0607
28000,1.0,12.78,0.0597
29000,1.0,12.87,0.0586
30000,1.0,14.06,0.0576
31000,1.0,13.58,0.0567
32000,1.0,13.52,0.0558
33000,1.0,12.65,0.055
34000,1.0,12.61,0.0542
35000,1.0,12.8,0.0534
36000,1.0,12.58,0.0526
37000,0.98,13.24,0.0519
38000,1.0,15.84,0.0512
39000,0.99,13.67,0.0506
40000,1.0,12.72,0.0499
41000,1.0,13.32,0.0493
42000,1.0,12.84,0.0487
43000,1.0,13.89,0.0482
44000,1.0,13.37,0.0476
45000,1.0,12.59,0.0471
46000,1.0,12.54,0.0466
47000,1.0,12.57,0.0461
48000,1.0,13.16,0.0456
49000,1.0,12.72,0.0451
50000,1.0,12.55,0.0447
51000,1.0,14.22,0.0442
52000,1.0,12.63,0.0438
53000,1.0,12.54,0.0434
54000,1.0,12.67,0.043
55000,1.0,12.75,0.0426
