training_episode,win_rate,mean_episode_length,epsilon
0,0.0,14.1,1.0
100,0.0,15.76,0.7071
200,0.0,19.91,0.5774
300,0.03,20.06,0.5
400,0.21,25.34,0.4472
500,0.13,23.97,0.4082
600,0.5,25.57,0.378
700,0.21,22.83,0.3536
800,0.47,29.59,0.3333
900,0.16,22.03,0.3162
1000,0.65,24.76,0.3015
2000,0.78,27.41,0.2182
3000,0.74,24.2,0.1796
4000,0.99,22.49,0.1562
5000,0.7,24.89,0.14
6000,0.87,23.34,0.128
7000,0.83,25.52,0.1187
8000,1.0,20.24,0.1111
9000,0.49,20.95,0.1048
10000,0.96,19.41,0.0995
11000,1.0,16.53,0.0949
12000,0.95,18.42,0.0909
13000,0.93,19.96,0.0874
14000,1.0,16.31,0.0842
15000,0.99,17.31,0.0814
16000,0.98,17.9,0.0788
17000,1.0,16.36,0.0765
18000,0.99,17.01,0.0743
19000,1.0,14.73,0.0724
20000,1.0,17.65,0.0705
21000,1.0,14.54,0.0688
22000,0.9,21.61,0.0673
23000,1.0,14.91,0.0658
24000,0.99,14.98,0.0644
25000,1.0,17.41,0.0631
26000,1.0,13.9,0.0619
27000,1.0,14.86,0.0607
28000,0.91,17.77,0.0597
29000,1.0,13.89,0.0586
30000,1.0,15.31,0.0576
31000,1.0,15.06,0.0567
32000,1.0,13.89,0.0558
33000,1.0,14.71,0.055
34000,0.97,15.19,0.0542
35000,1.0,14.36,0.0534
36000,1.0,14.2,0.0526
37000,0.99,14.42,0.0519
38000,1.0,15.06,0.0512
39000,0.89,18.53,0.0506
40000,1.0,14.57,0.0499
41000,1.0,13.9,0.0493
42000,0.99,13.55,0.0487
43000,1.0,16.12,0.0482
44000,1.0,14.41,0.0476
45000,0.98,14.5,0.0471
46000,1.0,13.01,0.0466
47000,1.0,13.36,0.0461
48000,1.0,13.76,0.0456
49000,1.0,13.17,0.0451
50000,1.0,12.79,0.0447
51000,1.0,15.14,0.0442
52000,1.0,18.07,0.0438
53000,0.99,16.22,0.0434
