training_episode,win_rate,mean_episode_length,epsilon
0,0.0,13.68,1.0
100,0.0,14.19,0.7071
200,0.04,20.09,0.5774
300,0.0,20.83,0.5
400,0.0,23.68,0.4472
500,0.23,23.92,0.4082
600,0.58,25.61,0.378
700,0.09,22.31,0.3536
800,0.05,20.12,0.3333
900,0.32,27.62,0.3162
1000,0.31,23.21,0.3015
2000,0.29,21.51,0.2182
3000,0.57,22.74,0.1796
4000,0.94,24.84,0.1562
5000,0.71,21.39,0.14
6000,0.91,21.17,0.128
7000,0.95,22.72,0.1187
8000,0.97,18.61,0.1111
9000,0.82,22.71,0.1048
10000,0.8,19.74,0.0995
11000,1.0,19.79,0.0949
12000,0.97,19.23,0.0909
13000,0.96,17.39,0.0874
14000,0.96,17.42,0.0842
15000,0.88,22.56,0.0814
16000,0.99,17.35,0.0788
17000,0.99,18.12,0.0765
18000,0.98,17.32,0.0743
19000,1.0,14.84,0.0724
20000,1.0,14.85,0.0705
21000,0.97,16.49,0.0688
22000,0.98,15.76,0.0673
23000,0.99,15.94,0.0658
24000,0.95,17.23,0.0644
25000,0.97,19.09,0.0631
26000,1.0,15.28,0.0619
27000,0.9,20.81,0.0607
28000,1.0,15.66,0.0597
29000,0.99,16.53,0.0586
30000,0.99,17.54,0.0576
31000,1.0,15.16,0.0567
32000,0.99,17.27,0.0558
33000,1.0,14.91,0.055
34000,0.99,15.24,0.0542
35000,0.99,17.53,0.0534
36000,1.0,17.2,0.0526
37000,1.0,14.79,0.0519
38000,0.99,16.36,0.0512
39000,0.99,15.9,0.0506
40000,1.0,14.69,0.0499
41000,1.0,16.12,0.0493
42000,0.97,16.75,0.0487
43000,1.0,14.38,0.0482
44000,0.97,15.15,0.0476
45000,1.0,13.72,0.0471
46000,1.0,13.55,0.0466
47000,1.0,14.09,0.0461
48000,1.0,14.8,0.0456
49000,0.87,19.84,0.0451
50000,1.0,13.77,0.0447
