training_episode,win_rate,mean_episode_length,epsilon
0,0.0,20.45,1.0
100,0.0,18.26,0.7071
200,0.08,19.76,0.5774
300,0.0,14.23,0.5
400,0.05,20.3,0.4472
500,0.37,22.7,0.4082
600,0.38,26.62,0.378
700,0.38,26.19,0.3536
800,0.6,25.96,0.3333
900,0.3,25.57,0.3162
1000,0.48,24.98,0.3015
2000,0.65,23.55,0.2182
3000,0.9,23.28,0.1796
4000,0.88,25.31,0.1562
5000,0.93,22.63,0.14
6000,0.9,26.06,0.128
7000,0.79,24.6,0.1187
8000,0.76,21.11,0.1111
9000,1.0,15.28,0.1048
10000,0.92,20.65,0.0995
11000,0.96,16.62,0.0949
12000,1.0,17.28,0.0909
13000,0.99,16.74,0.0874
14000,0.89,23.23,0.0842
15000,1.0,16.98,0.0814
16000,0.99,15.22,0.0788
17000,1.0,15.7,0.0765
18000,0.99,14.82,0.0743
19000,1.0,15.93,0.0724
20000,1.0,14.71,0.0705
21000,0.97,15.64,0.0688
22000,1.0,15.09,0.0673
23000,0.36,19.74,0.0658
24000,0.98,15.52,0.0644
25000,0.98,15.22,0.0631
26000,1.0,14.12,0.0619
27000,0.86,17.29,0.0607
28000,0.98,16.7,0.0597
29000,0.88,18.16,0.0586
30000,0.98,17.74,0.0576
31000,1.0,14.72,0.0567
32000,0.96,17.46,0.0558
33000,1.0,14.74,0.055
34000,1.0,13.73,0.0542
35000,0.98,15.73,0.0534
36000,1.0,13.52,0.0526
37000,0.98,14.19,0.0519
38000,1.0,14.92,0.0512
39000,1.0,13.13,0.0506
40000,0.99,14.21,0.0499
41000,1.0,14.17,0.0493
42000,0.83,15.06,0.0487
43000,0.99,15.55,0.0482
44000,1.0,15.04,0.0476
45000,1.0,18.14,0.0471
46000,0.89,22.57,0.0466
47000,1.0,16.43,0.0461
48000,1.0,12.94,0.0456
49000,1.0,14.28,0.0451
50000,1.0,14.41,0.0447
51000,1.0,14.62,0.0442
52000,1.0,13.91,0.0438
53000,1.0,12.6,0.0434
54000,1.0,12.95,0.043
