training_episode,win_rate,mean_episode_length,epsilon
0,0.0,13.25,1.0
100,0.0,16.68,0.7071
200,0.0,15.87,0.5774
300,0.04,24.01,0.5
400,0.08,27.24,0.4472
500,0.12,20.94,0.4082
600,0.36,25.86,0.378
700,0.44,25.93,0.3536
800,0.41,25.45,0.3333
900,0.55,24.98,0.3162
1000,0.55,24.2,0.3015
2000,0.36,21.79,0.2182
3000,0.79,25.93,0.1796
4000,0.7,27.76,0.1562
5000,0.99,22.24,0.14
6000,0.73,21.5,0.128
7000,0.88,19.43,0.1187
8000,0.93,23.49,0.1111
9000,0.71,21.75,0.1048
10000,0.8,19.12,0.0995
11000,0.92,23.17,0.0949
12000,0.99,17.68,0.0909
13000,0.61,25.87,0.0874
14000,0.93,19.16,0.0842
15000,0.98,17.22,0.0814
16000,0.91,20.47,0.0788
17000,0.83,19.52,0.0765
18000,1.0,15.0,0.0743
19000,0.83,17.21,0.0724
20000,0.95,18.56,0.0705
21000,0.91,20.15,0.0688
22000,0.87,17.7,0.0673
23000,1.0,16.23,0.0658
24000,0.96,19.63,0.0644
25000,0.97,20.21,0.0631
26000,0.99,14.32,0.0619
27000,1.0,13.96,0.0607
28000,1.0,14.31,0.0597
29000,1.0,14.79,0.0586
30000,1.0,16.66,0.0576
31000,0.96,16.33,0.0567
32000,0.96,18.98,0.0558
33000,1.0,15.49,0.055
34000,0.99,16.63,0.0542
35000,1.0,16.63,0.0534
36000,0.98,16.09,0.0526
37000,1.0,13.46,0.0519
38000,0.95,20.29,0.0512
39000,1.0,15.35,0.0506
40000,1.0,14.52,0.0499
41000,1.0,13.72,0.0493
42000,1.0,13.15,0.0487
43000,1.0,16.36,0.0482
44000,1.0,13.67,0.0476
45000,1.0,13.27,0.0471
46000,1.0,13.53,0.0466
47000,1.0,13.18,0.0461
48000,1.0,13.72,0.0456
49000,1.0,13.27,0.0451
50000,1.0,13.74,0.0447
